data,denominazione_regione,nuovi_positivi,totale_positivi,tamponi_settimanali,tamponi_positivi_settimanali,tamponi_test_antigenico_rapido,totale_positivi_test_antigenico_rapido
2024-09-25,Basilicata,27,10237,477.0,27.0,681755.0,131700.0
2024-09-25,Calabria,96,1886,828.0,93.0,2610975.0,454197.0
2024-09-25,Campania,895,10038,12391.0,878.0,12483913.0,1611866.0
2024-09-25,Emilia-Romagna,681,10685,3284.0,621.0,9383816.0,1120222.0
2024-09-25,Friuli-Venezia Giulia,334,656,1097.0,265.0,4013305.0,358548.0
2024-09-25,Lazio,1302,81614,10965.0,1272.0,18086697.0,1510597.0
2024-09-25,Liguria,199,74,1955.0,197.0,4493264.0,407009.0
2024-09-25,Lombardia,3102,4854,14802.0,2856.0,30357350.0,2814978.0
2024-09-25,Marche,14,40,190.0,14.0,1789412.0,513913.0
2024-09-25,Molise,41,144,232.0,22.0,303270.0,74688.0
2024-09-25,Piemonte,830,57371,6765.0,809.0,17650667.0,1293462.0
2024-09-25,Puglia,438,3693,4478.0,426.0,9906187.0,1186725.0
2024-09-25,Sardegna,86,13344,1065.0,86.0,3372407.0,350170.0
2024-09-25,Sicilia,59,1527,118.0,42.0,11470790.0,1293024.0
2024-09-25,Toscana,625,1306,6409.0,442.0,10336761.0,928087.0
2024-09-25,Trentino-Alto Adige,216,181,527.0,131.0,2223154.0,208833.0
2024-09-25,Umbria,277,1019,1527.0,261.0,3436103.0,300887.0
2024-09-25,Valle d'Aosta,15,15,170.0,15.0,464834.0,36178.0
2024-09-25,Veneto,1683,11327,7836.0,-1381.0,27340725.0,1695075.0
2024-09-18,Abruzzo,219,2598,1640.0,169.0,5086346.0,427552.0
2024-09-18,Basilicata,24,10223,477.0,24.0,681278.0,131673.0
2024-09-18,Calabria,92,1900,940.0,91.0,2610147.0,454104.0
2024-09-18,Campania,833,9775,13043.0,808.0,12471522.0,1610988.0
2024-09-18,Emilia-Romagna,647,10009,3369.0,592.0,9380532.0,1119601.0
2024-09-18,Friuli-Venezia Giulia,197,539,833.0,161.0,4012208.0,358283.0
2024-09-18,Lazio,996,80396,10755.0,980.0,18075732.0,1509325.0
2024-09-18,Liguria,159,44,1938.0,159.0,4491309.0,406812.0
2024-09-18,Lombardia,1951,3708,12995.0,1808.0,30342548.0,2812122.0
2024-09-18,Marche,22,39,184.0,22.0,1789222.0,513899.0
2024-09-18,Molise,23,99,253.0,15.0,303038.0,74666.0
2024-09-18,Piemonte,604,56873,6916.0,596.0,17643902.0,1292653.0
2024-09-18,Puglia,468,3436,4914.0,453.0,9901709.0,1186299.0
2024-09-18,Sardegna,207,13264,1202.0,207.0,3371342.0,350084.0
2024-09-18,Sicilia,55,1540,137.0,41.0,11470672.0,1292982.0
2024-09-18,Toscana,508,1426,6107.0,353.0,10330352.0,927645.0
2024-09-18,Trentino-Alto Adige,123,116,441.0,80.0,2222627.0,208702.0
2024-09-18,Umbria,175,908,1301.0,167.0,3434576.0,300626.0
2024-09-18,Valle d'Aosta,12,18,168.0,12.0,464664.0,36163.0
2024-09-18,Veneto,1175,10869,6360.0,300.0,27332889.0,1696456.0
2024-09-11,Abruzzo,245,2550,2100.0,188.0,5084706.0,427383.0
2024-09-11,Basilicata,33,10209,541.0,33.0,680801.0,131649.0
2024-09-11,Calabria,153,1930,1106.0,148.0,2609207.0,454013.0
2024-09-11,Campania,1120,9823,14214.0,1090.0,12458479.0,1610180.0
2024-09-11,Emilia-Romagna,662,9365,3858.0,602.0,9377163.0,1119009.0
2024-09-11,Friuli-Venezia Giulia,224,546,1053.0,187.0,4011375.0,358122.0
2024-09-11,Lazio,1216,79471,10566.0,1071.0,18064977.0,1508345.0
2024-09-11,Liguria,209,59,2133.0,207.0,4489371.0,406653.0
2024-09-11,Lombardia,1951,3709,13170.0,1787.0,30329553.0,2810314.0
2024-09-11,Marche,12,37,169.0,12.0,1789038.0,513877.0
2024-09-11,Molise,49,74,261.0,24.0,302785.0,74651.0
2024-09-11,Piemonte,608,56608,7147.0,594.0,17636986.0,1292057.0
2024-09-11,Puglia,751,4289,6085.0,735.0,9896795.0,1185846.0
2024-09-11,Sardegna,120,13062,1391.0,120.0,3370140.0,349877.0
2024-09-11,Sicilia,70,1539,156.0,56.0,11470535.0,1292941.0
2024-09-11,Toscana,626,1648,6207.0,402.0,10324245.0,927292.0
2024-09-11,Trentino-Alto Adige,111,114,422.0,66.0,2222186.0,208622.0
2024-09-11,Umbria,165,920,1238.0,148.0,3433275.0,300459.0
2024-09-11,Valle d'Aosta,7,19,159.0,7.0,464496.0,36151.0
2024-09-11,Veneto,1338,10863,6947.0,488.0,27326529.0,1696156.0
2024-09-04,Abruzzo,381,2537,2587.0,293.0,5082606.0,427195.0
2024-09-04,Basilicata,58,10187,631.0,58.0,680260.0,131616.0
2024-09-04,Calabria,246,1981,1351.0,232.0,2608101.0,453865.0
2024-09-04,Campania,1666,10428,13813.0,1639.0,12444265.0,1609090.0
2024-09-04,Emilia-Romagna,957,8710,4491.0,876.0,9373305.0,1118407.0
2024-09-04,Friuli-Venezia Giulia,275,585,1171.0,220.0,4010322.0,357935.0
2024-09-04,Lazio,1506,78350,9803.0,1269.0,18054411.0,1507274.0
2024-09-04,Liguria,301,98,2379.0,301.0,4487238.0,406446.0
2024-09-04,Lombardia,2395,4552,13717.0,2218.0,30316383.0,2808527.0
2024-09-04,Marche,45,45,341.0,46.0,1788869.0,513865.0
